abbreviation	title	shorttitle
AA	Amino Acids	Amino Acids
AACT	Antimicrobial Agents and Chemotherapy	Antimicrob. Agents Chemother.
AB	Astrobiology	Astrobiology
ABB-	Archives of Biochemistry and Biophysics	Arch. Biochem. Biophys.
ABC-	Analytical and Bioanalytical Chemistry	Anal. Bioanal. Chem.
ABCH-	Analytical Biochemistry	Anal. Biochem.
AC	Analytical Chemistry	Anal. Chem.
AC-A-FC	Acta Crystallographica Section A: Foundations of Crystallography	Acta Crystallogr. Sect. A: Found. Crystallogr.
AC-C-CSC	Acta Crystallographica Section C: Crystal Structure Communications	Acta Crystallogr., Sect. C: Cryst. Struct. Commun.
ACA	Aldrichimica Acta	Aldrichimica Acta
ACH	Annali di Chimica	Ann. Chim.
ACHA-	Analytica Chimica Acta	Anal. Chim. Acta
ACHS	Acta Chimica Sinica	Acta Chim. Sinica
ACIS-	Advances in Colloid and Interface Science	Adv. Colloid Interface Sci.
ACLB	Applied Catalysis B: Environmental	Appl. Catal. B
ACQ	Actualite Chimique	Actual. Chim.
ACR	Accounts of Chemical Research	Acc. Chem. Res.
ACS	Acta Chemica Scandinavica	Acta Chem. Scand.
ACSAEM	ACS Applied Energy Materials	ACS Appl. Energy Mater.
ACSAMI	ACS Applied Materials \& Interfaces	ACS Appl. Mater. Interfaces
ACSC	ACS Catalysis	ACS Catal.
ACSCB	ACS Chemical Biology	ACS Chem. Biol.
ACSCS	ACS Combinatorial Science	ACS Comb. Sci.
ACSCSC	ACS Central Science	ACS Cent. Sci.
ACSEL	ACS Energy Letters	ACS Energy Lett.
ACSMCL	ACS Medicinal Chemistry Letters	ACS Med. Chem. Lett.
ACSN	ACS Nano	ACS Nano
ACSO	ACS Omega	ACS Omega
ACSPTS	ACS Pharmacology \& Translational Science	ACS Pharmacol. Transl. Sci.
ACSSCE	ACS Sustainable Chemistry \& Engineering	ACS Sustain. Chem. Eng.
ACSSS	American Chemical Society Symposium Series	ACS Symp. Ser.
ADVP	Advances in Pharmacolohy	Adv. Pharm.
ADVSCI	Advanced Science (Weinheim, Germany)	Adv. Sci. (Weinheim, Ger.)
AEM	Advanced Energy Materials	Adv. Energy Mater.
AFM	Advanced Functional Materials	Adv. Funct. Mater.
AJC	Australian Journal of Chemistry	Aust. J. Chem.
AJOC	Asian Journal of Organic Chemistry	Asian J. Org. Chem.
AIC-	Advances in Inorganic Chemistry and Radiochemistry	Adv. Inorg. Chem. Radiochem.
AIC-	Advances in Inorganic Chemistry	Adv. Inorg. Chem.
AITE	Archivum Immunologiae et Therapia Experimentalis	Arch. Immun. Therap. Exper.
AM	Advanced Materials	Adv. Mater.
AMR	Advanced Materials Research	Adv. Mater. Res.
AN	Angewandte Chemie	Angew. Chem.
ANIE	Angewandte Chemie International Edition in English	Angew. Chem., Int. Ed. Engl
ANIE	Angewandte Chemie International Edition	Angew. Chem. Int. Ed.
ANYAS	Annals of the New York Academy of Sciences	Ann. N. Y. Acad. Sci.
AOMC	Advances in Organometallic Chemistry	Adv. Organomet. Chem.
AP	Archiv der Pharmazie	Arch. Pharm.
APOMC	Applied Organometallic Chemistry	Appl. Organomet. Chem
ARB	Annual Review of Biochemistry	Annu. Rev. Biochem.
ARKIVOC	Arkivoc	Arkivoc
AS	Anaesthesist	Anaesthesist
ASC-	Advanced Synthesis \& Catalysis	Adv. Synth. Catal.
ASCI	Applied Sciences	Appl. Sci.
ASS-	Applied Surface Science	Appl. Surf. Sci.
BB-	Biosensors and Bioelectronics	Biosens. Bioelectron.
BBA-	Biochimica et Biophysica Acta	Biochim. Biophys. Acta
BBB	Bioscience, Biotechnology and Biochemistry	Biosci. Biotech. Biochem.
BBRC-	Biochemical and Biophysical Research Communications	Biochem. Biophys. Res. Commun.
BC	Bioorganic Chemistry	Bioorg. Chem.
BCC	Bulgarian Chemistry Communications	Bulgar. Chem. Commun.
BCJC	Bioconjugate Chemistry	Bioconjugate Chem.
BCP	Biochemical Pharmacology	Biochem. Pharm.
BCSJ	Bulletin of the Chemical Society of Japan	Bull. Chem. Soc. Jpn.
BCY	Biochemistry	Biochemistry
BCMST	Biochemist	Biochemist
BDCG	Berichte der Deutschen Chemischen Gesselschaft	Ber. Dtsch. Chem. Ges.
BDCG-B-A	Berichte der Deutschen Chemischen Gesselschaft, B: Abhandlungen	Ber. Dtsch. Chem. Ges. B
BIOINF	Bioinformatics	Bioinformatics
BIRM	BioInorganic Reaction Mechanisms	BioInorg. React. Mech.
BIOC-	Biological Chemistry	Biol. Chem.
BJ	Biochemical Journal	Biochem. J.
BJOC	Beilstein Journal of Organic Chemistry	Beilstein J. Org. Chem.
BKCS	Bulletin of the Korean Chemical Society	Bull. Korean Chem. Soc.
BLOOD-	Blood	Blood
BMC	Bioorganic \& Medicinal Chemistry	Bioorg. Med. Chem.
BMCL	Bioorganic \& Medicinal Chemistry Letters	Bioorg. Med. Chem. Lett.
BONE-	Bone	Bone
BR	Biophysical Reviews	Biophys. Rev.
BS	Batteries \& Supercaps	Batteries Supercaps
BSCB	Bulletin des Sociétés Chimiques Belges	Bull. Soc. Chim. Belg.
BSCF	Bulletin de la Societe Chimique de France	Bull. Soc. Chim. Fr.
BTJ	Biotechnology Journal	BTJ
